Number   ,Headword   ,Related word forms   ,SFI   ,U   
1539,concentrate,"concentrated, concentrates, concentrating",57.2,53
1540,plenty,,57.2,53
1541,export,"exported, exporting, exports",57.2,53
1542,entirely,,57.2,53
1543,strongly,,57.2,53
1544,bridge,"bridged, bridges, bridging",57.2,53
1545,consist,"consisted, consisting, consists",57.2,52
1546,graduate,"graduated, graduates, graduating",57.2,52
1547,brand,"branded, branding, brands",57.2,52
1548,moral,morals,57.2,52
1549,insist,"insisted, insisting, insists",57.2,52
1550,combination,combinations,57.2,52
1551,abuse,"abused, abuses, abusing",57.2,52
1552,ice,"iced, ices",57.2,52
1553,principal,principals,57.2,52
1554,master,"mastered, mastering, masters",57.2,52
1555,definitely,,57.2,52
1556,session,sessions,57.2,52
1557,grade,"graded, grades, grading",57.2,52
1558,nevertheless,,57.2,52
1559,predict,"predicted, predicting, predicts",57.1,52
1560,previously,,57.1,52
1561,protection,protections,57.1,52
1562,largely,,57.1,52
1563,wed,"wedded, wedding, weddings, weds",57.1,52
1564,rent,"rented, renting, rents",57.1,52
1565,shot,shots,57.1,52
1566,appearance,appearances,57.1,52
1567,reasonable,,57.1,52
1568,guarantee,"guaranteed, guaranteeing, guarantees, guaranties, guaranty",57.1,52
1569,till,"tilled, tilling, tills",57.1,52
1570,theme,"themed, themes",57.1,51
1571,judgment,judgments,57.1,51
1572,odd,"odder, oddest",57.1,51
1573,approve,"approved, approves, approving",57.1,51
1574,loan,"loaned, loaning, loans",57.1,51
1575,definition,definitions,57.1,51
1576,elect,"elected, electing, elects",57.1,51
1577,atmosphere,atmospheres,57.1,51
1578,farmer,farmers,57.1,51
1579,comparison,comparisons,57.1,51
1580,characteristic,characteristics,57.1,51
1581,license,"licence, licenced, licences, licencing, licensed, licenses, licensing",57.1,51
1582,rely,"relied, relies, relying",57.1,51
1583,narrow,"narrowed, narrower, narrowest, narrowing, narrows",57.1,51
1584,succeed,"succeeded, succeeding, succeeds",57.1,51
1585,identity,identities,57.1,51
1586,desk,desks,57.1,51
1587,permit,"permits, permitted, permitting",57,51
1588,seriously,,57,51
1589,wild,"wilder, wildest, wilds",57,51
1590,empty,"emptied, emptier, empties, emptiest, emptying",57,50
1591,commission,"commissioned, commissioning, commissions",57,50
1592,unique,,57,50
1593,association,associations,57,50
1594,instrument,"instrumented, instruments",57,50
1595,investor,investors,57,50
1596,practical,,57,50
1597,tea,teas,57,50
1598,lovely,"lovelier, loveliest",57,50
1599,soft,"softer, softest",57,50
1600,row,"rowed, rowing, rows",57,50
1601,youth,youths,57,50
1602,lock,"locked, locking, locks",57,50
1603,fuel,"fueled, fueling, fuels",57,50
1604,expectation,expectations,57,50
1605,employment,employments,57,50
1606,celebrate,"celebrated, celebrates, celebrating",57,50
1607,sexual,,57,50
1608,shoulder,"shouldered, shoulders",57,50
1609,breath,breaths,57,50
1610,increasingly,,57,50
1611,import,"imported, importing, imports",57,50
1612,bottle,"bottled, bottles, bottling",56.9,50
1613,ourselves,,56.9,49
1614,sheet,"sheeted, sheeting, sheets",56.9,49
1615,engine,engines,56.9,49
1616,cast,"casted, casting, castings, casts",56.9,49
1617,notion,notions,56.9,49
1618,conservative,conservatives,56.9,49
1619,journey,"journeyed, journeying, journeys",56.9,49
1620,opposition,oppositions,56.9,49
1621,relief,reliefs,56.9,49
1622,debt,debts,56.9,49
1623,honor,"honored, honoring, honors, honour, honoured, honouring, honours",56.9,49
1624,outcome,outcomes,56.9,49
1625,blame,"blamed, blames, blaming",56.9,49
1626,explanation,explanations,56.9,49
1627,arise,"arisen, arises, arising, arose",56.9,49
1628,musical,musicals,56.9,49
1629,recover,"recovered, recovering, recovers",56.9,49
1630,dad,"daddies, daddy, dads",56.9,49
1631,stretch,"stretched, stretches, stretching",56.9,49
1632,declare,"declared, declares, declaring",56.9,49
1633,retire,"retired, retires, retiring",56.9,48
1634,tiny,"tinier, tiniest",56.8,48
1635,careful,,56.8,48
1636,suitable,,56.8,48
1637,native,natives,56.8,48
1638,fruit,"fruited, fruiting, fruits",56.8,48
1639,analyze,"analyse, analysed, analysing, analyzed, analyzes, analyzing",56.8,48
1640,witness,"witnessed, witnesses, witnessing",56.8,48
1641,mail,"mailed, mailing, mailings, mails",56.8,48
1642,terrible,,56.8,48
1643,researcher,researchers,56.8,48
1644,ordinary,,56.8,48
1645,selection,selections,56.8,48
1646,anywhere,,56.8,48
1647,mental,,56.8,48
1648,participant,participants,56.8,48
1649,vision,visions,56.8,47
1650,personality,personalities,56.8,47
1651,specifically,,56.8,47
1652,fat,"fats, fatter, fattest",56.8,47
1653,entry,entries,56.8,47
1654,fellow,fellows,56.8,47
1655,chemical,chemicals,56.8,47
1656,capture,"captured, captures, capturing",56.7,47
1657,tip,"tipped, tipping, tips",56.7,47
1658,discount,"discounted, discounting, discounts",56.7,47
1659,peak,"peaked, peaking, peaks",56.7,47
1660,chairman,chairmen,56.7,47
1661,proportion,"proportioned, proportioning, proportions",56.7,47
1662,ear,"eared, ears",56.7,47
1663,disappear,"disappeared, disappearing, disappears",56.7,47
1664,shout,"shouted, shouting, shouts",56.7,47
1665,yard,yards,56.7,47
1666,constant,constants,56.7,47
1667,significantly,,56.7,47
1668,hill,"hilled, hills",56.7,46
1669,considerable,,56.7,46
1670,instruction,instructions,56.7,46
1671,intelligence,intelligences,56.7,46
1672,ideal,ideals,56.7,46
1673,folk,folks,56.7,46
1674,surely,,56.7,46
1675,guard,"guarded, guarding, guards",56.7,46
1676,cat,cats,56.7,46
1677,somewhat,,56.6,46
1678,kiss,"kissed, kisses, kissing",56.6,46
1679,presentation,presentations,56.6,46
1680,joint,"jointed, jointing, joints",56.6,46
1681,compete,"competed, competes, competing",56.6,46
1682,poll,"polled, polling, polls",56.6,46
1683,weak,"weaker, weakest",56.6,46
1684,faith,faiths,56.6,46
1685,reduction,reductions,56.6,46
1686,reserve,"reserved, reserves, reserving",56.6,46
1687,complaint,complaints,56.6,46
1688,bore,"bored, bores, boring",56.6,46
1689,mission,missions,56.6,46
1690,somehow,,56.6,46
1691,tone,"toned, tones, toning",56.6,46
1692,neighborhood,"neighborhoods, neighbourhood, neighbourhoods",56.6,46
1693,passenger,passengers,56.6,46
1694,justice,justices,56.6,46
1695,phase,"phased, phases, phasing",56.6,46
1696,thin,"thinned, thinner, thinnest, thinning, thins",56.6,46
1697,rush,"rushed, rushes, rushing",56.6,45
1698,formal,formals,56.6,45
1699,religion,religions,56.6,45
1700,employer,employers,56.6,45
1701,reject,"rejected, rejecting, rejects",56.6,45
1702,latter,,56.6,45
1703,plate,"plated, plates, plating",56.6,45
1704,ban,"banned, banning, bans",56.6,45
1705,steal,"stealing, steals, stole, stolen",56.6,45
1706,protest,"protested, protesting, protests",56.5,45
1707,index,"indexed, indexes, indexing, indices",56.5,45
1708,sad,"sadder, saddest",56.5,45
1709,frequently,,56.5,45
1710,circle,"circled, circles, circling",56.5,45
1711,helpful,,56.5,45
1712,command,"commanded, commanding, commands",56.5,45
1713,attractive,,56.5,45
1714,sick,"sicker, sickest",56.5,45
1715,impression,impressions,56.5,45
1716,unable,,56.5,45
1717,joke,"joked, jokes, joking",56.5,45
1718,sky,skies,56.5,45
1719,column,"columned, columns",56.5,45
1720,electronic,electronics,56.5,45
1721,impose,"imposed, imposes, imposing",56.5,45
1722,criminal,criminals,56.5,45
1723,besides,,56.5,44
1724,properly,,56.5,44
1725,ancient,ancients,56.5,44
1726,coast,"coasted, coasting, coasts",56.5,44
1727,ill,ills,56.5,44
1728,kick,"kicked, kicking, kicks",56.5,44
1729,closely,,56.5,44
1730,multiple,multiples,56.4,44
1731,yield,"yielded, yielding, yields",56.4,44
1732,via,,56.4,44
1733,legislation,legislations,56.4,44
1734,county,counties,56.4,44
1735,unlike,,56.4,44
1736,mobile,mobiles,56.4,44
1737,assistant,assistants,56.4,44
1738,implement,"implemented, implementing, implements",56.4,44
1739,chart,"charted, charting, charts",56.4,44
1740,attach,"attached, attaches, attaching",56.4,44
1741,hell,hells,56.4,44
1742,everywhere,,56.4,44
1743,advise,"advised, advises, advising",56.4,44
1744,household,households,56.4,44
1745,acknowledge,"acknowledged, acknowledges, acknowledging",56.4,44
1746,reward,"rewarded, rewarding, rewards",56.4,43
1747,east,,56.4,43
1748,hat,"hats, hatted",56.4,43
1749,academic,academics,56.4,43
1750,voter,voters,56.4,43
1751,meanwhile,,56.4,43
1752,furthermore,,56.4,43
1753,accuse,"accused, accuses, accusing",56.4,43
1754,scientific,,56.4,43
1755,wage,"waged, wages, waging",56.4,43
1756,absence,absences,56.3,43
1757,construct,"constructed, constructing, constructs",56.3,43
1758,remark,"remarked, remarking, remarks",56.3,43
1759,medicine,medicines,56.3,43
1760,professor,"prof, professors",56.3,43
1761,rare,"rarer, rarest",56.3,43
1762,intention,intentions,56.3,43
1763,dozen,dozens,56.3,43
1764,settlement,settlements,56.3,43
1765,gap,"gapped, gapping, gaps",56.3,43
1766,widely,,56.3,43
1767,minimum,"minima, minimums",56.3,43
1768,northern,,56.3,43
1769,estate,estates,56.3,43
1770,equally,,56.3,43
1771,expose,"exposed, exposes, exposing",56.3,43
1772,alive,,56.3,43
1773,shut,shuts,56.3,42
1774,victory,victories,56.3,42
1775,resolve,"resolved, resolves, resolving",56.3,42
1776,critic,critics,56.3,42
1777,variable,variables,56.3,42
1778,enormous,,56.3,42
1779,sweet,"sweeter, sweetest, sweets",56.3,42
1780,permanent,,56.2,42
1781,emotion,emotions,56.2,42
1782,pursue,"pursued, pursues, pursuing",56.2,42
1783,tall,"taller, tallest",56.2,42
1784,urge,"urged, urges, urging",56.2,42
1785,enemy,enemies,56.2,42
1786,appoint,"appointed, appointing, appoints",56.2,42
1787,milk,"milked, milking, milks",56.2,42
1788,talent,"talented, talents",56.2,42
1789,smell,"smelled, smelling, smells",56.2,42
1790,prior,priors,56.2,42
1791,priority,priorities,56.2,42
1792,online,,56.2,42
1793,phrase,"phrased, phrases, phrasing",56.2,42
1794,pilot,"piloted, piloting, pilots",56.2,42
1795,stable,"stabled, stables, stabling",56.2,42
1796,merely,,56.2,42
1797,resolution,resolutions,56.2,42
1798,communicate,"communicated, communicates, communicating",56.2,42
1799,injury,injuries,56.2,41
1800,vast,"vaster, vastest",56.2,41
1801,exhibition,exhibitions,56.2,41
1802,producer,producers,56.2,41
1803,regional,regionals,56.2,41
1804,immediate,,56.2,41
1805,incident,incidents,56.2,41
1806,childhood,childhoods,56.2,41
1807,draft,"drafted, drafting, drafts, draught, draughts",56.2,41
1808,slip,"slipped, slipping, slips",56.2,41
1809,accompany,"accompanied, accompanies, accompanying",56.2,41
1810,politician,politicians,56.2,41
1811,angry,"angrier, angriest",56.2,41
1812,knock,"knocked, knocking, knocks",56.2,41
1813,seed,"seeded, seeding, seeds",56.2,41
1814,salary,"salaried, salaries",56.1,41
1815,illustrate,"illustrated, illustrates, illustrating",56.1,41
1816,imply,"implied, implies, implying",56.1,41
1817,breakfast,"breakfasted, breakfasting, breakfasts",56.1,41
1818,temporary,,56.1,41
1819,liberal,liberals,56.1,41
1820,lake,lakes,56.1,41
1821,qualify,"qualified, qualifies, qualifying",56.1,41
1822,competitive,,56.1,41
1823,truly,,56.1,41
1824,hi,,56.1,41
1825,yellow,"yellowed, yellowing, yellows",56.1,41
1826,habit,"habited, habits",56.1,41
1827,disk,"disc, discs, disks",56.1,41
1828,core,"cored, cores, coring",56.1,41
1829,emotional,,56.1,41
1830,aircraft,aircrafts,56.1,40
1831,self,selves,56.1,40
1832,metal,metals,56.1,40
1833,existence,existences,56.1,40
1834,bone,"boned, bones, boning",56.1,40
1835,panel,"paneled, paneling, panelled, panelling, panels",56,40
1836,prime,"primed, primes, priming",56,40
1837,appointment,appointments,56,40
1838,emphasize,"emphasise, emphasised, emphasises, emphasising, emphasized, emphasizes, emphasizing",56,40
1839,maximum,,56,40
1840,effectively,,56,40
1841,elsewhere,,56,40
1842,bother,"bothered, bothering, bothers",56,40
1843,initiative,initiatives,56,40
1844,sharp,"sharper, sharpest",56,40
1845,diet,"dieted, dieting, diets",56,40
1846,motion,"motioned, motioning, motions",56,40
1847,gray,"grayed, grayer, grayest, graying, grays, grey, greyed, greyer, greyest, greying, greys",56,40
1848,plastic,plastics,56,40
1849,complicate,"complicated, complicates, complicating",56,40
1850,discipline,"disciplined, disciplines, disciplining",56,40
1851,disappoint,"disappointed, disappointing, disappoints",56,40
1852,boss,"bossed, bosses, bossing",56,40
1853,assumption,assumptions,56,40
1854,freeze,"freezes, freezing, froze, frozen",56,40
1855,extreme,extremes,56,40
1856,passage,passages,56,40
1857,reputation,reputations,56,40
1858,forth,,56,40
1859,negotiation,negotiations,56,40
1860,mechanism,mechanisms,56,39
1861,coat,"coated, coating, coats",56,39
1862,democracy,democracies,56,39
1863,pocket,"pocketed, pocketing, pockets",56,39
1864,lucky,"luckier, luckiest",56,39
1865,crash,"crashed, crashes, crashing",56,39
1866,observation,observations,56,39
1867,meat,meats,56,39
1868,concentration,concentrations,56,39
1869,implication,implications,55.9,39
1870,deserve,"deserved, deserves, deserving",55.9,39
1871,unusual,,55.9,39
1872,defend,"defended, defending, defends",55.9,39
1873,classic,classics,55.9,39
1874,king,kings,55.9,39
1875,interaction,interactions,55.9,39
1876,repair,"repaired, repairing, repairs",55.9,39
1877,collapse,"collapsed, collapses, collapsing",55.9,39
1878,borrow,"borrowed, borrowing, borrows",55.9,39
1879,fundamental,fundamentals,55.9,39
1880,dish,"dished, dishes, dishing",55.9,39
1881,abroad,,55.9,39
1882,soul,souls,55.9,39
1883,capable,,55.9,39
1884,defeat,"defeated, defeating, defeats",55.9,39
1885,presidential,,55.9,39
1886,perfectly,,55.9,39
1887,enhance,"enhanced, enhances, enhancing",55.9,39
1888,proud,"prouder, proudest",55.9,39
1889,emergency,emergencies,55.9,39
1890,educational,,55.9,39
1891,distinguish,"distinguished, distinguishes, distinguishing",55.9,39
1892,substantial,,55.9,39
1893,nearby,,55.9,38
1894,manufacturer,manufacturers,55.9,38
1895,slide,"slid, slides, sliding",55.9,38
1896,valuable,valuables,55.8,38
1897,personally,,55.8,38
1898,breast,"breasted, breasting, breasts",55.8,38
1899,cope,"coped, copes, coping",55.8,38
1900,approximately,,55.8,38
1901,accommodation,accommodations,55.8,38
1902,highlight,"highlighted, highlighting, highlights",55.8,38
1903,reporter,reporters,55.8,38
1904,climate,climates,55.8,38
1905,shirt,"shirted, shirting, shirts",55.8,38
1906,exception,exceptions,55.8,38
1907,corporation,corporations,55.8,38
1908,chip,"chipped, chipping, chips",55.8,38
1909,winner,winners,55.8,38
1910,encounter,"encountered, encountering, encounters",55.8,38
1911,brown,"browned, browner, brownest, browning, browns",55.8,38
1912,breathe,"breathed, breathes, breathing",55.8,38
1913,excuse,"excused, excuses, excusing",55.8,38
1914,partly,,55.8,38
1915,tennis,,55.8,38
1916,urban,,55.8,38
1917,confuse,"confused, confuses, confusing",55.8,38
1918,southern,,55.8,38
1919,output,"outputs, outputted, outputting",55.8,38
1920,beauty,beauties,55.8,38
1921,massive,,55.8,38
1922,install,"installed, installing, installs",55.8,38
1923,calculate,"calculated, calculates, calculating",55.8,38
1924,mouse,"mice, mouses",55.8,38
1925,mathematics,"math, maths",55.8,38
1926,upper,uppers,55.8,38
1927,creation,creations,55.8,38
1928,occupy,"occupied, occupies, occupying",55.8,38
1929,outline,"outlined, outlines, outlining",55.8,38
1930,sufficient,,55.8,38
1931,update,"updated, updates, updating",55.8,38
1932,luck,"lucked, lucking, lucks",55.8,38
1933,preserve,"preserved, preserves, preserving",55.8,38
1934,split,"splits, splitting",55.8,38
1935,swing,"swinging, swings, swung",55.8,38
1936,illness,illnesses,55.8,38
1937,journalist,journalists,55.7,38
1938,sudden,,55.7,38
1939,advertisement,advertisements,55.7,38
1940,consistent,,55.7,38
1941,originally,,55.7,37
1942,aside,asides,55.7,37
1943,comfort,"comforted, comforting, comforts",55.7,37
1944,secondly,,55.7,37
1945,severe,"severer, severest",55.7,37
1946,gene,genes,55.7,37
1947,prospect,"prospected, prospecting, prospects",55.7,37
1948,snow,"snowed, snowing, snows",55.7,37
1949,plot,"plots, plotted, plotting",55.7,37
1950,neck,"necked, necking, necks",55.7,37
1951,criterion,criterions,55.7,37
1952,primarily,,55.7,37
1953,integrate,"integrated, integrates, integrating",55.7,37
1954,criticism,criticisms,55.7,37
1955,convention,conventions,55.7,37
1956,bet,"bets, betted, betting",55.7,37
1957,retain,"retained, retaining, retains",55.7,37
1958,sequence,"sequenced, sequences, sequencing",55.7,37
1959,plain,"plainer, plainest, plains",55.6,37
1960,volunteer,"volunteered, volunteering, volunteers",55.6,37
1961,rural,,55.6,37
1962,calm,"calmed, calmer, calmest, calming, calms",55.6,37
1963,abandon,"abandoned, abandoning, abandons",55.6,37
1964,examination,examinations,55.6,37
1965,silence,"silenced, silences, silencing",55.6,37
1966,rapidly,,55.6,37
1967,efficient,,55.6,37
1968,revolution,revolutions,55.6,36
1969,delight,"delighted, delighting, delights",55.6,36
1970,spell,"spelled, spelling, spells, spelt",55.6,36
1971,premise,"premised, premises, premising",55.6,36
1972,lean,"leaned, leaner, leanest, leaning, leans, leant",55.6,36
1973,dramatic,dramatics,55.6,36
1974,differ,"differed, differing, differs",55.6,36
1975,grateful,,55.6,36
1976,protein,proteins,55.6,36
1977,bike,"biked, bikes, biking",55.6,36
1978,distribute,"distributed, distributes, distributing",55.6,36
1979,intellectual,intellectuals,55.6,36
1980,derive,"derived, derives, deriving",55.6,36
1981,crucial,,55.6,36
1982,unemployment,,55.6,36
1983,wheel,"wheeled, wheeling, wheels",55.6,36
1984,crop,"cropped, cropping, crops",55.6,36
1985,minority,minorities,55.6,36
1986,origin,origins,55.6,36
1987,interpretation,interpretations,55.6,36
1988,gentleman,gentlemen,55.6,36
1989,drama,dramas,55.6,36
1990,landscape,"landscaped, landscapes, landscaping",55.6,36
1991,educate,"educated, educates, educating",55.6,36
1992,toy,"toyed, toying, toys",55.6,36
1993,fault,"faulted, faulting, faults",55.6,36
1994,exhibit,"exhibited, exhibiting, exhibits",55.5,36
1995,minor,minors,55.5,36
1996,hunt,"hunted, hunting, hunts",55.5,36
1997,storm,"stormed, storming, storms",55.5,36
1998,thick,"thicker, thickest",55.5,36
1999,achievement,achievements,55.5,36
2000,negotiate,"negotiated, negotiates, negotiating",55.5,36
2001,dominate,"dominated, dominates, dominating",55.5,36
2002,supplier,suppliers,55.5,36
2003,prize,"prized, prizes",55.5,36
2004,typically,,55.5,36
2005,peer,"peered, peering, peers",55.5,36
2006,pension,"pensioned, pensioning, pensions",55.5,36
2007,wing,"winged, winging, wings",55.5,36
2008,acquisition,acquisitions,55.5,36
2009,laughter,,55.5,36
2010,deeply,,55.5,36
2011,recognition,recognitions,55.5,35
2012,electricity,,55.5,35
2013,assistance,assistances,55.5,35
2014,roof,"roofed, roofing, roofs",55.5,35
2015,retirement,retirements,55.5,35
2016,respectively,,55.5,35
2017,variation,variations,55.5,35
2018,ultimately,,55.5,35
2019,proof,"proofed, proofing, proofs",55.5,35
2020,soil,"soiled, soiling, soils",55.5,35
2021,smart,"smarted, smarter, smartest, smarting, smarts",55.5,35
2022,layer,"layered, layering, layers",55.5,35
2023,upset,"upsets, upsetting",55.5,35
2024,tooth,"teeth, toothed",55.5,35
2025,representation,representations,55.5,35
2026,preparation,preparations,55.5,35
2027,dispute,"disputed, disputes, disputing",55.5,35
2028,agenda,agendas,55.5,35
2029,emphasis,emphases,55.5,35
2030,edition,editions,55.5,35
2031,silver,"silvered, silvers",55.5,35
2032,entertainment,entertainments,55.5,35
2033,honest,,55.5,35
2034,undertake,"undertaken, undertakes, undertaking, undertakings, undertook",55.4,35
2035,retail,"retailed, retailing, retails",55.4,35
2036,wire,"wired, wires, wiring",55.4,35
2037,unlikely,"unlikelier, unlikeliest",55.4,35
2038,gay,"gayer, gayest, gays",55.4,35
2039,publication,publications,55.4,35
2040,slight,"slighted, slighter, slightest, slighting, slights",55.4,35
2041,unknown,unknowns,55.4,35
2042,framework,frameworks,55.4,35
2043,zone,"zoned, zones, zoning",55.4,35
2044,restrict,"restricted, restricting, restricts",55.4,35
2045,trace,"traced, traces, tracing",55.4,35
2046,inch,"inched, inches, inching",55.4,35
2047,equivalent,equivalents,55.4,35
2048,solid,solids,55.4,35
2049,enterprise,"enterprises, enterprising",55.4,35
2050,elderly,,55.4,35
2051,owe,"owed, owes, owing",55.4,35
2052,governor,governors,55.4,35
2053,uniform,"uniformed, uniforms",55.4,35
2054,port,"ported, porting, ports",55.4,34
2055,pitch,"pitched, pitches, pitching",55.4,34
2056,arrival,arrivals,55.4,34
2057,contemporary,contemporaries,55.4,34
2058,gate,"gated, gates, gating",55.4,34
2059,ease,"eased, eases, easing",55.4,34
2060,beer,beers,55.4,34
2061,specialist,specialists,55.4,34
2062,assure,"assured, assures, assuring",55.3,34
2063,profile,"profiled, profiles, profiling",55.3,34
2064,mood,moods,55.3,34
2065,episode,episodes,55.3,34
2066,crack,"cracked, cracking, cracks",55.3,34
2067,numerous,,55.3,34
2068,submit,"submits, submitted, submitting",55.3,34
2069,symptom,symptoms,55.3,34
2070,virtually,,55.3,34
2071,era,eras,55.3,34
2072,coverage,,55.3,34
2073,tension,"tensioned, tensioning, tensions",55.3,34
2074,cable,"cabled, cables, cabling",55.3,34
2075,sensitive,,55.3,34
2076,nervous,,55.3,34
2077,input,"inputs, inputted, inputting",55.3,34
2078,isolate,"isolated, isolates, isolating",55.3,34
2079,prisoner,prisoners,55.3,34
2080,eliminate,"eliminated, eliminates, eliminating",55.3,34
2081,tight,"tighter, tightest",55.3,34
2082,wet,"wets, wetted, wetter, wettest, wetting",55.3,34
2083,secondary,,55.3,34
2084,welfare,welfares,55.3,34
2085,recruit,"recruited, recruiting, recruits",55.3,34
2086,exclude,"excluded, excludes, excluding",55.3,34
2087,string,"stringing, strings, strung",55.3,33
2088,cloud,"clouded, clouding, clouds",55.2,33
2089,persuade,"persuaded, persuades, persuading",55.2,33
2090,inspire,"inspired, inspires, inspiring",55.2,33
2091,grand,"grander, grandest",55.2,33
2092,hence,,55.2,33
2093,crew,"crewed, crewing, crews",55.2,33
2094,phenomenon,phenomena,55.2,33
2095,pupil,pupils,55.2,33
2096,FALSE,"falser, falsest",55.2,33
2097,assist,"assisted, assisting, assists",55.2,33
2098,restore,"restored, restores, restoring",55.2,33
2099,formula,"formulae, formulas",55.2,33
2100,alter,"altered, altering, alters",55.2,33
2101,perceive,"perceived, perceives, perceiving",55.2,33
2102,routine,routines,55.2,33
2103,sink,"sank, sinking, sinks, sunk",55.2,33
2104,stare,"stared, stares, staring",55.2,33
2105,anymore,,55.2,33
2106,hero,heroes,55.2,33
2107,supporter,supporters,55.2,33
2108,convert,"converted, converting, converts",55.2,33
2109,steady,"steadied, steadier, steadies, steadiest, steadying",55.2,33
2110,meter,"metered, metering, meters, metre, metres",55.2,33
2111,truck,"trucked, trucking, trucks",55.2,33
2112,nose,"nosed, noses, nosing",55.2,33
2113,beside,,55.2,33
2114,sail,"sailed, sailing, sails",55.2,33
2115,disaster,disasters,55.2,33
2116,pace,"paced, paces, pacing",55.2,33
2117,heavily,,55.2,33
2118,devote,"devoted, devotes, devoting",55.2,33
2119,terrorist,terrorists,55.2,33
2120,justify,"justified, justifies, justifying",55.2,33
2121,vital,vitals,55.2,33
2122,fascinate,"fascinated, fascinates, fascinating",55.2,33
2123,external,externals,55.2,33
2124,spare,"spared, sparer, spares, sparest, sparing",55.1,33
2125,whenever,,55.1,33
2126,depression,depressions,55.1,33
2127,guilty,"guiltier, guiltiest",55.1,33
2128,underlie,"underlain, underlies, underlying",55.1,33
2129,mom,"mommies, mommy, moms",55.1,33
2130,distinction,distinctions,55.1,33
2131,satisfaction,satisfactions,55.1,33
2132,incorporate,"incorporated, incorporates, incorporating",55.1,33
2133,pour,"poured, pouring, pours",55.1,33
2134,sweep,"sweeping, sweeps, swept",55.1,33
2135,obligation,obligations,55.1,33
2136,sir,,55.1,33
2137,evaluate,"evaluated, evaluates, evaluating",55.1,32
2138,anger,"angered, angers",55.1,32
2139,pub,pubs,55.1,32
2140,perception,perceptions,55.1,32
2141,naturally,,55.1,32
2142,currency,currencies,55.1,32
2143,database,databases,55.1,32
2144,initially,,55.1,32
2145,territory,territories,55.1,32
2146,stream,"streamed, streaming, streams",55.1,32
2147,rarely,,55.1,32
2148,height,heights,55.1,32
2149,apparent,,55.1,32
2150,western,westerns,55.1,32
2151,expansion,expansions,55.1,32
2152,constantly,,55.1,32
2153,muscle,"muscled, muscles",55.1,32
2154,scare,"scared, scares, scaring",55.1,32
2155,badly,,55.1,32
2156,everyday,,55.1,32
2157,boundary,boundaries,55,32
2158,ratio,ratios,55,32
2159,essay,"essayed, essaying, essays",55,32
2160,scream,"screamed, screaming, screams",55,32
2161,withdraw,"withdrawing, withdrawn, withdraws, withdrew",55,32
2162,pollution,pollutions,55,32
2163,disorder,"disordered, disordering, disorders",55,32
2164,furniture,,55,32
2165,symbol,symbols,55,32
2166,apartment,apartments,55,32
2167,demonstration,demonstrations,55,32
2168,analyst,analysts,55,32
2169,platform,platforms,55,32
2170,steel,"steeled, steeling, steels",55,32
2171,cake,"caked, cakes, caking",55,32
2172,transform,"transformed, transforming, transforms",55,32
2173,wound,"wounded, wounding, wounds",55,31
2174,restriction,restrictions,55,31
2175,foundation,foundations,55,31
2176,designer,designers,55,31
2177,strain,"strained, straining, strains",55,31
2178,innovation,innovations,55,31
2179,album,albums,55,31
2180,singer,singers,55,31
2181,trail,"trailed, trailing, trails",55,31
2182,trap,"trapped, trapping, trappings, traps",55,31
2183,loose,"loosed, looser, looses, loosest, loosing",55,31
2184,extension,extensions,55,31
2185,wealth,,54.9,31
2186,gradually,,54.9,31
2187,tank,"tanked, tanking, tanks",54.9,31
2188,evil,"eviler, evilest, evils",54.9,31
2189,remarkable,,54.9,31
2190,tune,"tuned, tunes, tuning",54.9,31
2191,grass,"grassed, grasses, grassing",54.9,31
2192,invitation,invitations,54.9,31
2193,transition,"transitioned, transitioning, transitions",54.9,31
2194,frighten,"frightened, frightening, frightens",54.9,31
2195,bid,"bade, bidding, bids",54.9,31
2196,breed,"bred, breeding, breeds",54.9,31
2197,extraordinary,,54.9,31
2198,brilliant,,54.9,31
2199,adviser,advisers,54.9,31
2200,stem,"stemmed, stemming, stems",54.9,31
2201,reverse,"reversed, reverses, reversing",54.9,31
2202,mode,modes,54.9,31
2203,mirror,"mirrored, mirroring, mirrors",54.9,31
2204,awful,,54.9,31
2205,pose,"posed, poses, posing",54.9,31
2206,adjust,"adjusted, adjusting, adjusts",54.9,31
2207,creative,,54.9,31
2208,nowadays,,54.9,31
2209,poem,poems,54.9,31
2210,agricultural,,54.9,31
2211,competitor,competitors,54.9,31
2212,alcohol,alcohols,54.9,31
2213,festival,festivals,54.9,31
2214,vegetable,vegetables,54.9,31
2215,van,vans,54.9,31
2216,confident,,54.9,31
2217,planet,planets,54.9,31
2218,curve,"curved, curves, curving",54.9,31
2219,knee,"kneed, kneeing, knees",54.9,31
2220,overcome,"overcame, overcomes, overcoming",54.9,31
2221,web,"webbed, webbing, webs",54.9,31
2222,depth,depths,54.9,31
2223,entrance,"entranced, entrances, entrancing",54.9,31
2224,log,"logged, logging, logs",54.9,31
2225,giant,giants,54.9,31
2226,god,gods,54.9,31
2227,portion,"portioned, portioning, portions",54.9,31
2228,substance,substances,54.8,31
2229,extensive,,54.8,31
2230,interpret,"interpreted, interpreting, interprets",54.8,30
2231,independence,,54.8,30
2232,sugar,"sugared, sugars",54.8,30
2233,inner,inners,54.8,30
2234,harm,"harmed, harming, harms",54.8,30
2235,consult,"consulted, consulting, consults",54.8,30
2236,pink,"pinked, pinker, pinkest, pinking, pinks",54.8,30
